Long,Lat,Z,Name,COL57F246CCD9B8A4F8,COL57F246CCD9C3CBFD,COL57F246CCD9A32AA2,COL57F246CCD96845F6,COL57F246CCD9CF181E,COL57F246CCD9B7CF0F,COL57F246CCD9D7A602,COL57F246CCD9BE0A74,COL57F246CCD9FF7136,COL57F246CCD91DDEF5,COL57F246CCD9AC3ED6,COL57F246CCD92C480D,COL57F246CCD9F1884C,COL57F246CCD901AF12,COL57F246CCD993D672,COL57F246CCD95DF5A7,COL57F246CCD90C9FD7,COL57F246CCDA727A94,COL57F246CCDA80FC32,COL57F246CCDA9C46AE
-123.180222,48.56123885,0,67-1010-0817,47388356,26,radar,15646,0,0,6.4,0.670245426,6.541192524,0,14.30258647,2.186541126,0,1,0.946589291,2241,10/10/2025 0:00,,10/10/2025 0:00,
-123.1802033,48.56121871,0,67-1010-0817,47388356,26,radar,15646,0,0,6.4,0.670245426,6.541192524,0,14.30258647,2.186541126,0,1,0.946589291,2241,10/10/2025 0:00,,10/10/2025 0:00,
-123.1802108,48.56121076,0,67-1010-0817,47388356,26,radar,15646,0,0,6.4,0.670245426,6.541192524,0,14.30258647,2.186541126,0,1,0.946589291,2241,10/10/2025 0:00,,10/10/2025 0:00,
-123.1801958,48.56122666,0,67-1010-0817,47388356,26,radar,15646,0,0,6.4,0.670245426,6.541192524,0,14.30258647,2.186541126,0,1,0.946589291,2241,10/10/2025 0:00,,10/10/2025 0:00,
-123.1801882,48.56123459,0,67-1010-0817,47388356,26,radar,15646,0,0,6.4,0.670245426,6.541192524,0,14.30258647,2.186541126,0,1,0.946589291,2241,10/10/2025 0:00,,10/10/2025 0:00,
-123.1801745,48.56121779,0,67-1010-0817,47388356,26,radar,15646,0,0,6.4,0.670245426,6.541192524,0,14.30258647,2.186541126,0,1,0.946589291,2241,10/10/2025 0:00,,10/10/2025 0:00,
-123.1801728,48.56121946,0,67-1010-0817,47388356,26,radar,15646,0,0,6.4,0.670245426,6.541192524,0,14.30258647,2.186541126,0,1,0.946589291,2241,10/10/2025 0:00,,10/10/2025 0:00,
-123.1801214,48.56124207,0,67-1010-0817,47388356,26,radar,15646,0,0,6.4,0.670245426,6.541192524,0,14.30258647,2.186541126,0,1,0.946589291,2241,10/10/2025 0:00,,10/10/2025 0:00,
-123.1801153,48.56121744,0,67-1010-0817,47388356,26,radar,15646,0,0,6.4,0.670245426,6.541192524,0,14.30258647,2.186541126,0,1,0.946589291,2241,10/10/2025 0:00,,10/10/2025 0:00,
-123.1801452,48.56118599,0,67-1010-0817,47388356,26,radar,15646,0,0,6.4,0.670245426,6.541192524,0,14.30258647,2.186541126,0,1,0.946589291,2241,10/10/2025 0:00,,10/10/2025 0:00,
-123.1801173,48.56115268,0,67-1010-0817,47388356,26,radar,15646,0,0,6.4,0.670245426,6.541192524,0,14.30258647,2.186541126,0,1,0.946589291,2241,10/10/2025 0:00,,10/10/2025 0:00,
-123.1801123,48.56115768,0,67-1010-0817,47388356,26,radar,15646,0,0,6.4,0.670245426,6.541192524,0,14.30258647,2.186541126,0,1,0.946589291,2241,10/10/2025 0:00,,10/10/2025 0:00,
